,mz,rt,lcms mode
LN972,607.2392543,13.35268333,-1
LN969,197.0822907,13.35268333,-1
LN968,225.1134334,13.35268333,-1
LN965,507.2121272,13.35268333,-1
LN963,383.0698257,13.35268333,-1
LN973,497.2497472,13.35268333,-1
LN967,507.2157816,13.35268333,-1
LN964,573.2527836,13.35268333,-1
LN978,486.0912001,13.39835,-1
LN975,138.0206009,13.39835,-1
LN980,797.1449538,13.39835,-1
LN976,481.2250682,13.39835,-1
LN974,228.9944835,13.39835,-1
LN992,541.1907491,13.44411667,-1
LN988,475.2251671,13.44411667,-1
LN991,617.7747849,13.44411667,-1
LN987,455.3213766,13.44411667,-1
LN989,531.1490407,13.44411667,-1
LN984,346.1702058,13.44411667,-1
LN990,661.3501396,13.44411667,-1
LN983,182.0100116,13.44411667,-1
LN986,471.0853915,13.44411667,-1
LN982,499.2225159,13.44411667,-1
LN981,499.2166118,13.44411667,-1
LN1002,357.1376763,13.48988333,-1
LN1001,526.2184897,13.48988333,-1
LN997,398.0720779,13.48988333,-1
LN998,561.1916607,13.48988333,-1
LN996,343.213996,13.48988333,-1
LN994,492.2254142,13.48988333,-1
LN1008,411.1777472,13.53576667,-1
LN1006,375.2016743,13.53576667,-1
LN1016,431.1597826,13.53576667,-1
LN1011,438.2003309,13.53576667,-1
LN1003,421.2069801,13.53576667,-1
LN1012,646.2928036,13.53576667,-1
LN1005,463.2200808,13.53576667,-1
LN1014,564.74939,13.53576667,-1
LN1004,463.2153922,13.53576667,-1
LN1007,214.1453882,13.53576667,-1
LN1019,145.0876366,13.58143333,-1
LN1024,486.0921126,13.58143333,-1
LN1023,713.7857366,13.58143333,-1
LN1017,501.1741046,13.58143333,-1
LN1020,713.2828797,13.58143333,-1
LN1018,564.2470048,13.58143333,-1
LN1026,536.2577,13.6272,-1
LN1028,269.0451708,13.6272,-1
LN1031,295.1227265,13.67296667,-1
LN1032,536.2515542,13.67296667,-1
LN1030,185.0825707,13.67296667,-1
LN1047,581.7478509,13.71885,-1
LN1038,253.0505428,13.71885,-1
LN1044,245.1034324,13.71885,-1
LN1041,565.752522,13.71885,-1
LN1040,283.1054338,13.71885,-1
LN1046,581.2450887,13.71885,-1
LN1043,439.2158142,13.71885,-1
LN1039,565.2546395,13.71885,-1
LN1055,414.1459015,13.76453333,-1
LN1053,187.0987544,13.76453333,-1
LN1052,325.2029514,13.76453333,-1
LN1056,627.2468136,13.76453333,-1
LN1057,511.2342232,13.76453333,-1
LN1054,465.2277144,13.76453333,-1
LN1050,632.2634495,13.76453333,-1
LN1048,609.2627828,13.76453333,-1
LN1058,411.0751,13.8103,-1
LN1061,572.7431947,13.8103,-1
LN1059,572.2406674,13.8103,-1
LN1067,486.0900056,13.85606667,-1
LN1070,347.1731605,13.85606667,-1
LN1069,437.2321196,13.85606667,-1
LN1064,523.2409186,13.85606667,-1
LN1065,435.2221729,13.85606667,-1
LN1066,543.2435718,13.85606667,-1
LN1063,523.2349193,13.85606667,-1
LN1071,477.2359235,13.85606667,-1
LN1079,535.2417662,13.90193333,-1
LN1073,229.1454995,13.90193333,-1
LN1077,223.0799626,13.90193333,-1
LN1072,419.0891487,13.90193333,-1
LN1076,389.1832418,13.90193333,-1
LN1080,500.2213184,13.9476,-1
LN1089,139.1136499,13.99338333,-1
LN1083,137.0252558,13.99338333,-1
LN1086,543.1901202,13.99338333,-1
LN1087,241.1085668,13.99338333,-1
LN1085,543.180951,13.99338333,-1
